-5 2.132e-06
-4.5 7.25737e-06
-4 2.31934e-05
-3.5 6.95896e-05
-3 0.000196027
-2.5 0.000518421
-2 0.00128719
-1.5 0.00300051
-1 0.00656661
-0.5 0.0134921
0 0.0260264
0.5 0.0471347
1 0.0801421
1.5 0.127931
2 0.191726
2.5 0.269762
3 0.356348
3.5 0.441939
4 0.514568
4.5 0.562492
5 0.577276
5.5 0.556217
6 0.503151
6.5 0.427313
7 0.340712
7.5 0.255048
8 0.179246
8.5 0.118269
9 0.0732631
9.5 0.0426082
10 0.0232646
10.5 0.0119259
11 0.00573956
11.5 0.00259334
12 0.00110011
12.5 0.000438131
13 0.00016382
13.5 5.75071e-05
14 1.89527e-05
14.5 5.86425e-06
15 1.70352e-06
